"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"PSV-99";"TOP 5 PSV-99";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Sandie Toletti";"S. Toletti";"63789";"1995-07-13";"Real Madrid, Women";"2016";"86.31";"10";"0";"24.46";"25.68";"null";"null";"null";"null";"2.59";"null";"9957.47";"110.64";"1263.79";"255.78";"21.17";"16.68";"1.04";"272.47";"22.21";"90.3";"1.67";"83.11";"2.29";"0.42";"0.0";"13.24"
"Andrea Abigail Alvarez Donis";"A. Alvarez";"63824";"2003-01-13";"Sevilla FC, Women";"2013";"77.73";"10";"0";"26.47";"27.22";"0.9";"null";"null";"null";"2.18";"3.04";"8872.41";"98.58";"1182.9";"505.37";"45.85";"100.73";"6.37";"606.1";"52.22";"109.29";"6.14";"89.61";"13.78";"2.08";"0.12";"27.56"
"Synne Sofie Kinden Jensen";"S. Jensen";"63933";"1996-02-15";"Atlético Madrid, Women";"2000";"83.08";"19";"0";"27.31";"28.3";"0.66";"0.78";"1.67";"2.36";"2.2";"2.78";"8986.85";"99.85";"971.75";"432.25";"40.88";"108.16";"5.93";"540.41";"46.81";"92.88";"5.25";"80.51";"7.36";"2.68";"0.63";"19.79"
"Aldrith Ivana Quintero Humphries";"Aldrith Quintero";"63943";"2002-01-01";"Alhama CF";"5154";"105.23";"8";"0";"25.45";"26.56";"null";"null";"null";"null";"2.53";"3.37";"8243.15";"91.59";"870.99";"186.56";"17.32";"27.58";"0.75";"214.14";"18.07";"85.42";"1.92";"76.44";"4.17";"0.43";"0.0";"13.9"
"Ewa  Pajor";"E. Pajor";"63993";"1996-12-03";"FC Barcelona, Women";"1995";"83.35";"15";"0";"27.43";"28.46";"0.71";"0.75";"1.88";"null";"1.98";"2.76";"9905.88";"110.07";"1351.58";"528.51";"53.63";"121.29";"8.78";"649.81";"62.41";"113.66";"7.41";"94.59";"12.96";"4.61";"0.36";"34.62"
"Ona Batlle Pascual";"Ona Batlle";"64094";"1999-06-10";"FC Barcelona, Women";"1995";"77.92";"14";"0";"27.26";"28.38";"0.65";"0.65";"1.64";"null";"2.0";"2.72";"9309.93";"103.44";"1190.83";"553.92";"48.26";"121.36";"8.83";"675.28";"57.09";"103.46";"5.28";"88.52";"13.53";"3.96";"0.83";"24.67"
"Laia Aleixandri López";"Laia Aleixandri";"64095";"2000-08-25";"FC Barcelona, Women";"1995";"80.14";"9";"0";"25.6";"26.6";"0.98";"null";"null";"null";"2.08";"3.32";"9731.31";"108.13";"1212.45";"328.57";"27.2";"53.53";"2.87";"382.1";"30.07";"96.84";"3.49";"84.73";"6.99";"1.5";"0.12";"17.47"
"Rosa Márquez Baena";"Rosa Márquez";"64097";"2000-12-22";"Sevilla FC, Women";"2013";"101.11";"22";"0";"24.93";"26.6";"0.69";"null";"null";"null";"2.03";"2.94";"9028.78";"100.32";"1177.82";"334.57";"26.38";"36.62";"1.74";"371.19";"28.12";"94.11";"2.35";"83.84";"7.24";"0.89";"0.08";"24.2"
"Anna Torroda Ricart";"Anna Torrodà";"64098";"2000-01-21";"Reial Club Deportiu Espanyol";"4041";"96.28";"17";"0";"24.94";"26.46";"1.1";"null";"null";"null";"2.25";"2.78";"9741.57";"108.24";"1295.05";"304.64";"24.25";"26.23";"1.21";"330.87";"25.46";"92.38";"1.43";"84.96";"4.56";"0.27";"0.0";"19.3"
"Nerea Eizaguirre Lasa";"Nerea Eizagirre";"64099";"2000-01-04";"Real Sociedad, Women";"2001";"79.92";"8";"0";"26.1";"26.76";"0.96";"null";"null";"null";"2.17";"2.93";"8715.56";"96.84";"923.98";"334.6";"31.81";"62.36";"2.82";"396.96";"34.63";"86.29";"3.66";"76.72";"6.19";"1.41";"0.99";"20.41"
"Claudia Pina Medina";"Claudia Pina";"64100";"2001-08-12";"FC Barcelona, Women";"1995";"77.61";"13";"0";"25.51";"26.8";"0.86";"0.99";"null";"null";"2.26";"2.84";"9613.8";"106.82";"1164.35";"391.15";"32.65";"37.11";"1.69";"428.26";"34.34";"107.04";"3.57";"89.47";"5.8";"2.5";"0.36";"20.34"
"Amaiur Sarriegi Isasa";"Amaiur Sarriegi";"64102";"2000-12-13";"Atlético Madrid, Women";"2000";"78.72";"17";"0";"26.62";"27.98";"0.79";"0.81";"null";"null";"1.96";"3.0";"9426.65";"104.74";"1354.72";"537.99";"45.06";"104.1";"5.25";"642.09";"50.3";"106.05";"5.92";"90.05";"10.63";"3.23";"0.27";"29.12"
"Alba María Redondo Ferrer";"Alba Redondo";"64103";"1996-08-27";"Real Madrid, Women";"2016";"73.83";"15";"0";"26.46";"28.04";"0.66";"0.82";"1.95";"null";"1.99";"2.99";"9304.09";"103.38";"1196.7";"453.86";"41.53";"65.58";"4.79";"519.44";"46.32";"100.2";"5.61";"85.08";"11.95";"3.66";"0.41";"27.47"
"Athenea del Castillo Belvide";"Athenea del Castillo";"64105";"2000-10-24";"Real Madrid, Women";"2016";"75.04";"21";"0";"28.21";"29.4";"0.68";"0.69";"1.44";"1.68";"1.9";"2.78";"9613.04";"106.81";"1197.98";"506.64";"49.57";"153.06";"9.37";"659.7";"58.94";"95.09";"4.74";"80.07";"13.19";"3.03";"0.97";"29.41"
"María José Pérez González";"María José Pérez";"67695";"1984-03-19";"Alhama CF";"5154";"94.65";"9";"0";"26.16";"26.5";"0.92";"1.04";"2.14";"null";"2.03";"2.82";"8898.61";"98.87";"1126.34";"465.71";"40.04";"70.15";"5.71";"535.86";"45.75";"98.57";"5.71";"81.77";"10.67";"2.85";"0.85";"30.74"
"Aleksandra Zaremba Kupiec";"A. Zaremba";"67697";"2001-02-19";"UDG Tenerife, Women";"1996";"98.14";"22";"0";"27.26";"28.84";"0.74";"0.82";"1.47";"null";"2.28";"2.93";"8974.13";"99.71";"1136.1";"503.86";"40.72";"105.42";"5.59";"609.28";"46.31";"104.62";"4.08";"88.28";"11.3";"2.96";"0.63";"17.38"
"Natalia Ramos Álvarez";"Natalia Ramos";"67699";"1999-02-10";"UDG Tenerife, Women";"1996";"101.62";"23";"0";"24.18";"25.94";"0.76";"0.89";"null";"null";"2.0";"2.8";"9807.91";"108.98";"1605.0";"355.38";"30.23";"17.94";"1.12";"373.32";"31.34";"128.73";"2.97";"104.08";"9.93";"1.08";"0.04";"29.73"
"Patricia Gavira Collado";"Patri Gavira";"67700";"1989-04-26";"UDG Tenerife, Women";"1996";"103.59";"22";"0";"25.84";"27.14";"0.83";"null";"null";"null";"2.16";"2.81";"8547.12";"94.97";"836.74";"229.18";"19.83";"32.74";"1.42";"261.92";"21.25";"97.67";"2.84";"80.96";"7.42";"0.83";"0.0";"12.08"
"Koko Ange Mariette Christelle N'Guessan";"A. N'Guessan";"67702";"1990-11-18";"UDG Tenerife, Women";"1996";"80.39";"5";"0";"27.72";"27.72";"0.75";"0.81";"null";"null";"2.1";"null";"8441.35";"93.79";"1073.86";"483.87";"47.47";"143.97";"8.28";"627.84";"55.75";"100.76";"6.49";"88.44";"14.55";"3.36";"0.45";"21.94"
"Paola Hernández Díaz";"Paola Hernández";"67705";"2002-07-25";"UDG Tenerife, Women";"1996";"78.8";"16";"0";"24.81";"26.34";"0.89";"null";"null";"null";"2.14";"3.06";"9850.95";"109.45";"1410.84";"323.37";"26.91";"30.12";"1.21";"353.49";"28.13";"117.43";"2.57";"95.65";"9.42";"0.71";"0.21";"27.55"
"Cecilia Marcos Nabal";"Cecilia Marcos";"68132";"2001-11-03";"Real Sociedad, Women";"2001";"73.97";"6";"0";"27.85";"27.98";"0.7";"0.76";"2.19";"null";"2.35";"2.89";"9912.81";"110.14";"1381.58";"597.0";"54.96";"196.3";"11.56";"793.3";"66.51";"117.82";"6.49";"94.9";"17.44";"5.48";"1.22";"38.93"
"Emma Ramírez Gorgoso";"Emma Ramírez";"68133";"2002-05-10";"Real Sociedad, Women";"2001";"70.22";"11";"0";"27.09";"28.52";"0.86";"null";"null";"null";"2.4";"2.8";"9429.67";"104.77";"1240.41";"458.99";"40.2";"113.38";"5.01";"572.37";"45.21";"105.22";"5.13";"91.71";"13.05";"1.28";"0.0";"27.27"
"Gemma Gili Giner";"Gemma Gili";"68135";"1994-05-21";"Sevilla FC, Women";"2013";"84.83";"2";"0";"24.7";"24.7";"null";"null";"null";"null";"null";"null";"9122.18";"101.36";"991.41";"284.85";"20.16";"9.55";"0.53";"294.4";"20.69";"99.19";"2.12";"76.39";"6.9";"0.53";"0.0";"13.79"
"Iris Arnaiz Gil";"Iris Arnaiz";"68136";"1994-05-18";"Sevilla FC, Women";"2013";"88.57";"17";"0";"24.57";"26.78";"0.99";"null";"null";"null";"2.05";"3.15";"8767.2";"97.41";"983.35";"213.15";"18.83";"27.02";"1.26";"240.17";"20.08";"91.22";"1.79";"81.47";"4.66";"0.54";"0.0";"11.12"
"Maddi Torre Larrañaga";"Maddi Torre";"68138";"1996-03-30";"Athletic Club de Bilbao, Women";"2010";"86.06";"9";"0";"25.92";"26.86";"1.07";"null";"null";"null";"2.52";"null";"8936.24";"99.29";"958.66";"323.74";"26.15";"34.4";"2.32";"358.13";"28.47";"90.4";"2.44";"74.72";"5.11";"0.93";"0.23";"13.83"
"Gabriela Antonia García Segura";"Gaby García";"68140";"1997-04-02";"Atlético Madrid, Women";"2000";"93.52";"12";"0";"25.52";"26.56";"0.89";"null";"null";"null";"2.13";"3.06";"9644.7";"107.16";"1288.51";"349.9";"26.71";"43.95";"2.81";"393.84";"29.51";"99.44";"2.09";"88.94";"6.01";"0.96";"0.16";"17.64"
"Mirari Uria Gabilondo";"Mirari Uria";"68146";"2003-01-01";"Real Sociedad, Women";"2001";"73.55";"4";"0";"25.73";"25.73";"null";"null";"null";"null";"2.34";"3.27";"10421.58";"115.8";"1333.48";"522.81";"43.44";"49.25";"4.59";"572.06";"48.03";"100.34";"5.2";"91.47";"11.62";"1.84";"0.0";"30.9"
"Berta Pujadas Boix";"Berta Pujadas";"68151";"2000-04-09";"FC Levante Las Planas Badalona";"4040";"101.13";"6";"0";"25.95";"26.18";"1.13";"null";"null";"null";"2.4";"3.23";"8211.54";"91.24";"863.96";"251.55";"21.51";"34.71";"2.22";"286.26";"23.73";"90.18";"3.11";"74.46";"5.34";"1.63";"0.0";"13.35"
"Esther Martín-Pozuelo Aranda";"Esther Martín-Pozuelo";"68154";"1998-10-08";"Sevilla FC, Women";"2013";"94.44";"16";"0";"26.73";"27.86";"0.67";"null";"2.12";"null";"2.16";"2.67";"8801.62";"97.8";"1057.8";"383.69";"33.35";"69.75";"3.99";"453.43";"37.34";"99.35";"4.17";"85.35";"9.95";"1.67";"0.3";"20.25"
"Lice Fabiana Chamorro Gómez";"L. Chamorro";"68162";"1998-12-22";"FC Levante Las Planas Badalona";"4040";"94.66";"18";"0";"28.85";"30.06";"0.59";"0.74";"1.29";"1.83";"1.78";"2.86";"8785.26";"97.61";"1047.46";"586.75";"56.94";"231.62";"13.21";"818.37";"70.15";"97.4";"6.34";"81.82";"12.47";"4.81";"1.9";"25.04"
"Nerea Nevado Gómez";"Nerea Nevado";"68163";"2001-04-27";"Athletic Club de Bilbao, Women";"2010";"94.51";"19";"0";"26.69";"27.8";"0.62";"0.91";"null";"null";"2.1";"2.89";"8824.02";"98.04";"1059.11";"422.05";"35.48";"83.2";"4.66";"505.25";"40.15";"100.04";"4.11";"88.21";"9.87";"2.66";"0.25";"19.6"
"Gema Soliveres Cholbi";"Gema Soliveres";"68167";"2000-11-03";"Levante UD, Women";"2003";"62.3";"6";"0";"25.08";"25.42";"null";"null";"null";"null";"2.37";"null";"9182.82";"102.03";"1150.59";"266.28";"22.15";"32.02";"1.93";"298.3";"24.08";"100.16";"1.69";"94.38";"3.37";"0.24";"0.0";"17.82"
"Sonia García Majarín";"Sonia Majarín";"68169";"2002-12-06";"FC Levante Las Planas Badalona";"4040";"99.17";"20";"0";"26.79";"27.9";"0.76";"0.99";"null";"null";"2.02";"null";"8288.49";"92.09";"856.73";"295.12";"26.14";"71.1";"3.4";"366.22";"29.54";"90.07";"2.4";"76.68";"5.54";"1.27";"0.09";"14.84"
"Vera Martínez Viota";"Vera Martínez";"68175";"1999-09-13";"Real Club Deportivo de La Coruña";"4039";"98.37";"18";"0";"26.36";"27.4";"0.93";"0.99";"null";"null";"2.27";"2.91";"9206.76";"102.3";"1125.61";"391.33";"31.51";"69.23";"4.32";"460.56";"35.83";"99.02";"2.74";"82.19";"8.39";"1.12";"0.0";"18.45"
