"Player";"Short Name";"Player ID";"Birthdate";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Monica Hickmann Alves";"Mônica";"22553";"1987-04-21";"92.94";"15";"0";"9349.6";"100.6";"1006.8";"284.27";"24.4";"46.13";"3.13";"330.4";"27.53";"26.15";"27.42";"97.47";"1.6";"81.53";"3.67";"0.8";"0.85";"0.96";"0.47";"1.96";"null";"16.33";"2.2";"2.87";"9053.73";"100.6";"974.94";"275.27";"23.63";"44.67";"3.03";"319.94";"26.66";"94.38";"1.55";"78.95";"3.55";"0.77";"0.45";"15.82"
"Caroline Weir";"C. Weir";"22633";"1995-06-20";"85.44";"10";"0";"9375.5";"109.73";"1397.2";"348.0";"30.0";"34.7";"2.7";"382.7";"32.7";"25.38";"25.96";"102.2";"2.1";"89.2";"7.7";"1.2";"0.74";"1.0";"0.0";"null";"null";"23.5";"2.12";"2.88";"9876.07";"109.73";"1471.8";"366.58";"31.6";"36.55";"2.84";"403.13";"34.45";"107.66";"2.21";"93.96";"8.11";"1.26";"0.0";"24.75"
"Estefanía Romina Banini Ruiz";"E. Banini";"22657";"1990-06-21";"83.18";"13";"0";"8863.46";"106.55";"1204.85";"348.08";"29.62";"36.31";"2.23";"384.38";"31.85";"24.92";"26.44";"94.23";"2.38";"75.77";"7.54";"0.46";"1.04";"null";"0.0";"null";"null";"23.85";"2.11";"3.08";"9589.95";"106.55";"1303.6";"376.61";"32.04";"39.28";"2.41";"415.89";"34.46";"101.95";"2.58";"81.98";"8.16";"0.5";"0.0";"25.8"
"Ingrid Filippa Angeldahl";"F. Angeldahl";"42753";"1997-07-14";"83.44";"15";"0";"9515.0";"114.04";"1307.0";"358.27";"29.0";"37.33";"2.33";"395.6";"31.33";"25.91";"26.9";"97.13";"1.67";"84.53";"5.73";"0.4";"0.92";"null";"0.0";"null";"null";"22.07";"2.02";"2.9";"10263.47";"114.04";"1409.81";"386.45";"31.28";"40.27";"2.52";"426.72";"33.8";"104.77";"1.8";"91.18";"6.18";"0.43";"0.0";"23.8"
"Francisca Ramos Ribeiro Nazareth Sousa";"Kika Nazareth";"52569";"2002-11-17";"91.15";"7";"0";"9959.71";"109.27";"1339.71";"358.29";"30.29";"22.29";"2.14";"380.57";"32.43";"24.69";"25.26";"110.71";"2.57";"97.86";"5.57";"0.29";"null";"null";"0.0";"null";"null";"23.71";"2.17";"null";"9834.31";"109.27";"1322.85";"353.77";"29.9";"22.01";"2.12";"375.78";"32.02";"109.32";"2.54";"96.63";"5.5";"0.28";"0.0";"23.42"
"Dolores Isabel Jacome Silva";"Dolores Silva";"52573";"1991-08-07";"89.77";"12";"0";"9876.17";"110.02";"1556.33";"362.83";"26.5";"21.33";"1.33";"384.17";"27.83";"23.88";"24.78";"105.33";"1.83";"95.0";"6.67";"0.58";"1.3";"null";"0.0";"null";"null";"22.08";"2.07";"2.82";"9901.38";"110.02";"1560.31";"363.76";"26.57";"21.39";"1.34";"385.15";"27.9";"105.6";"1.84";"95.24";"6.68";"0.58";"0.0";"22.14"
"Andreia de Jesus Jacinto";"Andreia Jacinto";"52591";"2002-06-08";"94.02";"12";"0";"10901.75";"115.95";"1504.17";"378.08";"33.33";"46.08";"3.08";"424.17";"36.42";"25.65";"26.42";"103.33";"2.42";"93.25";"5.92";"1.83";"0.69";"0.89";"0.33";"null";"null";"22.92";"2.03";"3.03";"10435.69";"115.95";"1439.86";"361.92";"31.91";"44.11";"2.95";"406.03";"34.86";"98.92";"2.31";"89.26";"5.66";"1.75";"0.32";"21.94"
"Hanna Ulrika Bennison";"H. Bennison";"59377";"2002-10-16";"89.72";"5";"0";"10127.2";"112.88";"1529.2";"399.4";"34.2";"24.8";"1.2";"424.2";"35.4";"24.66";"24.66";"110.6";"2.2";"99.4";"9.4";"1.0";"1.09";"null";"0.0";"null";"null";"20.8";"2.44";"3.02";"10159.18";"112.88";"1534.03";"400.66";"34.31";"24.88";"1.2";"425.54";"35.51";"110.95";"2.21";"99.71";"9.43";"1.0";"0.0";"20.87"
"Giovana Queiroz Costa";"Gio Garbelini";"62393";"2003-06-21";"88.53";"4";"0";"8876.5";"100.27";"987.0";"468.75";"49.75";"175.0";"10.0";"643.75";"59.75";"29.55";"29.55";"94.5";"5.0";"81.5";"10.25";"2.5";"0.82";"null";"0.75";"null";"null";"25.75";"2.45";"null";"9024.4";"100.27";"1003.45";"476.56";"50.58";"177.92";"10.17";"654.48";"60.75";"96.07";"5.08";"82.86";"10.42";"2.54";"0.76";"26.18"
"Ana Vitoria Angelica Kliemaschewsk de Araujo";"Ana Vitória";"62477";"2000-03-06";"92.46";"4";"0";"9442.75";"102.13";"1126.5";"384.0";"38.75";"79.5";"3.5";"463.5";"42.25";"26.85";"26.85";"87.75";"2.5";"81.5";"4.75";"1.25";"0.85";"null";"0.0";"null";"null";"23.25";"2.31";"null";"9191.68";"102.13";"1096.55";"373.79";"37.72";"77.39";"3.41";"451.18";"41.13";"85.42";"2.43";"79.33";"4.62";"1.22";"0.0";"22.63"
"Loreta Kullashi";"L. Kullashi";"62524";"1999-05-20";"99.03";"5";"0";"11037.6";"111.46";"1644.6";"508.4";"40.4";"37.0";"2.8";"545.4";"43.2";"25.44";"25.44";"108.2";"4.6";"96.0";"8.8";"1.4";"1.14";"null";"0.0";"null";"null";"30.8";"2.28";"3.07";"10031.48";"111.46";"1494.69";"462.06";"36.72";"33.63";"2.54";"495.68";"39.26";"98.34";"4.18";"87.25";"8.0";"1.27";"0.0";"27.99"
"Catalina Alasia Ongaro";"C. Ongaro";"62532";"2003-03-26";"83.0";"4";"0";"8946.75";"107.79";"1246.75";"303.25";"25.75";"29.5";"2.0";"332.75";"27.75";"24.43";"24.43";"97.75";"0.5";"85.75";"6.0";"0.25";"null";"null";"0.0";"null";"null";"23.75";"2.52";"3.26";"9700.81";"107.79";"1351.83";"328.81";"27.92";"31.99";"2.17";"360.8";"30.09";"105.99";"0.54";"92.98";"6.51";"0.27";"0.0";"25.75"
"Daniela Caracas González";"D. Caracas";"62575";"1997-04-25";"98.39";"13";"0";"10205.77";"103.73";"1285.54";"490.23";"43.69";"128.31";"7.23";"618.54";"50.92";"27.72";"28.94";"111.46";"5.0";"98.69";"12.62";"3.23";"0.63";"0.76";"0.15";"null";"null";"23.31";"2.12";"2.73";"9335.4";"103.73";"1175.9";"448.42";"39.97";"117.37";"6.61";"565.79";"46.58";"101.96";"4.57";"90.28";"11.54";"2.96";"0.14";"21.32"
"Signe Kallesøe Bruun";"S. Bruun";"62605";"1998-04-06";"65.87";"4";"0";"6863.5";"104.2";"943.75";"362.25";"31.0";"46.5";"2.5";"408.75";"33.5";"26.8";"26.8";"80.75";"4.75";"66.5";"9.5";"4.25";"1.01";"null";"0.0";"null";"null";"21.25";"2.8";"null";"9377.67";"104.2";"1289.46";"494.95";"42.36";"63.53";"3.42";"558.48";"45.77";"110.33";"6.49";"90.86";"12.98";"5.81";"0.0";"29.03"
"Hildur Antonsdóttir";"H. Antonsdóttir";"62703";"1995-09-18";"97.57";"17";"0";"9813.59";"100.58";"1083.12";"234.24";"20.35";"27.24";"1.82";"261.47";"22.18";"24.94";"26.52";"96.06";"1.71";"83.29";"4.18";"0.53";"0.85";"1.0";"0.18";"null";"null";"17.41";"2.09";"2.81";"9051.87";"100.58";"999.05";"216.05";"18.77";"25.12";"1.68";"241.18";"20.46";"88.6";"1.57";"76.83";"3.85";"0.49";"0.16";"16.06"
"Bárbara Latorre Vinals";"Bárbara Latorre";"62890";"1993-03-14";"70.13";"9";"0";"7428.22";"105.92";"985.56";"433.11";"37.89";"95.11";"5.56";"528.22";"43.44";"27.12";"27.84";"79.44";"4.56";"65.56";"9.89";"3.56";"0.68";"0.82";"1.11";"1.67";"null";"25.44";"2.13";"3.03";"9532.41";"105.92";"1264.73";"555.8";"48.62";"122.05";"7.13";"677.85";"55.75";"101.95";"5.85";"84.13";"12.69";"4.56";"1.43";"32.65"
"Eva María Navarro García";"Eva Navarro";"62893";"2001-01-27";"88.35";"11";"0";"9169.18";"103.78";"1161.18";"496.82";"43.09";"145.64";"7.73";"642.45";"50.82";"28.12";"29.06";"92.55";"4.0";"82.36";"9.55";"2.73";"0.62";"0.79";"0.36";"1.33";"null";"23.73";"2.18";"2.89";"9340.1";"103.78";"1182.83";"506.08";"43.89";"148.35";"7.87";"654.43";"51.77";"94.27";"4.07";"83.9";"9.72";"2.78";"0.37";"24.17"
"Ainhoa Vicente Moraza";"Ainhoa Moraza";"62895";"1995-08-20";"100.31";"18";"0";"9853.44";"98.23";"983.72";"379.06";"36.5";"104.72";"6.17";"483.78";"42.67";"27.82";"29.46";"100.89";"4.11";"86.83";"7.39";"2.56";"0.68";"0.76";"0.61";"1.43";"1.54";"18.67";"2.08";"2.78";"8840.76";"98.23";"882.62";"340.1";"32.75";"93.96";"5.53";"434.06";"38.28";"90.52";"3.69";"77.91";"6.63";"2.29";"0.55";"16.75"
"María de Alharilla Casado Morente";"Alharilla Casado";"62898";"1990-11-13";"96.85";"14";"0";"9849.21";"101.7";"1199.21";"421.36";"34.14";"83.0";"4.0";"504.36";"38.14";"26.23";"27.16";"106.43";"5.36";"91.64";"12.43";"2.79";"0.75";"null";"0.21";"null";"null";"21.0";"2.17";"2.8";"9152.82";"101.7";"1114.42";"391.57";"31.73";"77.13";"3.72";"468.7";"35.45";"98.9";"4.98";"85.16";"11.55";"2.59";"0.2";"19.52"
"Antonia Ronnycleide da Costa Silva";"Antônia Silva";"63538";"1994-04-26";"76.42";"2";"0";"8003.0";"104.73";"1078.0";"379.5";"28.0";"66.5";"3.0";"446.0";"31.0";"25.95";"25.95";"79.0";"4.0";"64.5";"9.0";"0.0";"null";"null";"0.0";"null";"null";"21.5";"null";"null";"9425.56";"104.73";"1269.62";"446.96";"32.98";"78.32";"3.53";"525.28";"36.51";"93.04";"4.71";"75.97";"10.6";"0.0";"0.0";"25.32"
"Daiana Micaela Falfán";"D. Falfán";"63571";"2000-10-14";"98.51";"15";"0";"10372.13";"105.29";"1205.4";"236.47";"20.2";"6.6";"0.53";"243.07";"20.73";"23.7";"24.5";"105.13";"1.07";"95.4";"5.4";"0.13";"null";"null";"0.0";"null";"null";"17.8";"2.31";"3.07";"9476.22";"105.29";"1101.28";"216.04";"18.46";"6.03";"0.49";"222.07";"18.94";"96.05";"0.97";"87.16";"4.93";"0.12";"0.0";"16.26"
"Annelie Leitner";"A. Leitner";"63602";"1996-06-15";"94.15";"16";"0";"10602.88";"112.62";"1803.75";"885.69";"67.88";"174.81";"11.12";"1060.5";"79.0";"27.18";"28.26";"138.88";"5.5";"109.69";"22.88";"4.25";"0.81";"0.86";"0.5";"null";"null";"36.0";"2.06";"2.7";"10135.63";"112.62";"1724.26";"846.66";"64.88";"167.11";"10.63";"1013.77";"75.52";"132.76";"5.26";"104.85";"21.87";"4.06";"0.48";"34.41"
"Linda Lizeth Caicedo Alegria";"L. Caicedo";"63688";"2005-02-22";"82.93";"8";"0";"8453.5";"101.94";"1006.38";"470.12";"47.62";"179.5";"10.12";"649.62";"57.75";"29.05";"29.8";"92.75";"4.12";"76.25";"11.75";"2.0";"0.7";"0.84";"0.5";"1.36";"null";"27.0";"2.29";"2.8";"9174.51";"101.94";"1092.21";"510.22";"51.69";"194.81";"10.99";"705.03";"62.68";"100.66";"4.48";"82.75";"12.75";"2.17";"0.54";"29.3"
"Klára Cahynová";"K. Cahynová";"63731";"1993-12-20";"100.07";"15";"0";"11303.07";"112.96";"1295.6";"235.33";"19.73";"12.6";"0.93";"247.93";"20.67";"23.85";"24.9";"96.6";"1.73";"84.93";"3.4";"0.73";"0.85";"null";"0.0";"null";"null";"19.67";"2.32";"2.82";"10165.98";"112.96";"1165.26";"211.66";"17.75";"11.33";"0.84";"222.99";"18.59";"86.88";"1.56";"76.39";"3.06";"0.66";"0.0";"17.69"
"Sofie Junge Pedersen";"S. Junge Pedersen";"63755";"1992-04-24";"102.87";"1";"0";"11059.0";"107.51";"1443.0";"289.0";"28.0";"15.0";"1.0";"304.0";"29.0";"23.7";"23.7";"119.0";"2.0";"117.0";"10.0";"0.0";"null";"null";"0.0";"null";"null";"23.0";"null";"null";"9675.73";"107.51";"1262.51";"252.85";"24.5";"13.12";"0.87";"265.98";"25.37";"104.12";"1.75";"102.37";"8.75";"0.0";"0.0";"20.12"
"Sara Rosted Holmgaard";"S. Holmgaard";"63763";"1999-01-28";"93.9";"13";"0";"10298.31";"109.68";"1448.54";"564.38";"47.62";"96.69";"5.62";"661.08";"53.23";"26.68";"27.64";"106.15";"4.54";"93.38";"13.08";"2.54";"0.66";"0.8";"0.0";"null";"null";"25.23";"2.04";"2.84";"9870.99";"109.68";"1388.43";"540.97";"45.64";"92.68";"5.38";"633.65";"51.02";"101.75";"4.35";"89.51";"12.53";"2.43";"0.0";"24.18"
"Sandie Toletti";"S. Toletti";"63789";"1995-07-13";"86.31";"10";"0";"9549.4";"110.64";"1212.0";"245.3";"20.3";"16.0";"1.0";"261.3";"21.3";"24.46";"25.68";"86.6";"1.6";"79.7";"2.2";"0.4";"null";"null";"0.0";"null";"null";"12.7";"2.59";"null";"9957.47";"110.64";"1263.79";"255.78";"21.17";"16.68";"1.04";"272.47";"22.21";"90.3";"1.67";"83.11";"2.29";"0.42";"0.0";"13.24"
"Andrea Abigail Alvarez Donis";"A. Alvarez";"63824";"2003-01-13";"78.77";"9";"0";"7772.0";"98.67";"1048.89";"448.89";"40.0";"84.67";"5.11";"533.56";"45.11";"26.27";"26.8";"95.56";"5.44";"78.33";"12.0";"1.89";"0.9";"null";"0.0";"null";"null";"24.0";"2.18";"3.04";"8879.99";"98.67";"1198.42";"512.88";"45.7";"96.74";"5.84";"609.62";"51.54";"109.18";"6.22";"89.5";"13.71";"2.16";"0.0";"27.42"
"Synne Sofie Kinden Jensen";"S. Jensen";"63933";"1996-02-15";"86.53";"14";"0";"8712.93";"100.7";"954.07";"423.21";"40.29";"104.07";"6.0";"527.29";"46.29";"27.19";"28.06";"90.36";"4.93";"78.29";"6.71";"2.64";"0.7";"0.81";"0.57";"1.67";"null";"19.29";"2.2";"2.78";"9062.61";"100.7";"992.36";"440.2";"41.9";"108.25";"6.24";"548.45";"48.14";"93.98";"5.13";"81.43";"6.98";"2.75";"0.59";"20.06"
"Aldrith Ivana Quintero Humphries";"Aldrith Quintero";"63943";"2002-01-01";"105.23";"8";"0";"9638.0";"91.59";"1018.38";"218.12";"20.25";"32.25";"0.88";"250.38";"21.12";"25.45";"26.56";"99.88";"2.25";"89.38";"4.88";"0.5";"null";"null";"0.0";"null";"null";"16.25";"2.53";"3.37";"8243.15";"91.59";"870.99";"186.56";"17.32";"27.58";"0.75";"214.14";"18.07";"85.42";"1.92";"76.44";"4.17";"0.43";"0.0";"13.9"
"Ewa  Pajor";"E. Pajor";"63993";"1996-12-03";"85.85";"12";"0";"9482.0";"110.45";"1276.5";"487.0";"49.17";"106.33";"7.83";"593.33";"57.0";"27.27";"28.18";"109.0";"6.33";"91.5";"11.33";"4.0";"0.75";"0.75";"0.25";"2.09";"null";"32.33";"1.98";"2.76";"9940.68";"110.45";"1338.25";"510.56";"51.55";"111.48";"8.21";"622.04";"59.76";"114.27";"6.64";"95.93";"11.88";"4.19";"0.26";"33.9"
"Ona Batlle Pascual";"Ona Batlle";"64094";"1999-06-10";"82.21";"12";"0";"8515.58";"103.59";"1089.42";"517.5";"44.92";"117.42";"8.5";"634.92";"53.42";"27.25";"28.14";"94.0";"4.75";"80.92";"12.33";"3.5";"0.65";"0.65";"0.83";"1.64";"null";"22.75";"2.0";"2.72";"9322.69";"103.59";"1192.67";"566.55";"49.17";"128.55";"9.31";"695.09";"58.48";"102.91";"5.2";"88.59";"13.5";"3.83";"0.91";"24.91"
"Laia Aleixandri López";"Laia Aleixandri";"64095";"2000-08-25";"88.5";"7";"0";"9770.14";"110.4";"1240.29";"339.71";"28.0";"56.57";"2.86";"396.29";"30.86";"25.94";"26.5";"96.86";"3.57";"85.86";"6.71";"1.71";"0.98";"null";"0.14";"null";"null";"17.57";"2.18";"null";"9936.27";"110.4";"1261.38";"345.49";"28.48";"57.53";"2.91";"403.02";"31.38";"98.5";"3.63";"87.32";"6.83";"1.74";"0.15";"17.87"
"Rosa Márquez Baena";"Rosa Márquez";"64097";"2000-12-22";"100.74";"20";"0";"10149.85";"100.76";"1326.3";"375.6";"29.2";"43.7";"1.9";"419.3";"31.1";"25.0";"26.6";"104.55";"2.7";"93.85";"7.85";"1.0";"0.69";"null";"0.1";"null";"null";"27.9";"2.08";"2.94";"9067.99";"100.76";"1184.93";"335.57";"26.09";"39.04";"1.7";"374.61";"27.79";"93.41";"2.41";"83.85";"7.01";"0.89";"0.09";"24.93"
"Anna Torroda Ricart";"Anna Torrodà";"64098";"2000-01-21";"96.28";"17";"0";"10420.82";"108.24";"1385.35";"325.88";"25.94";"28.06";"1.29";"353.94";"27.24";"24.94";"26.46";"98.82";"1.53";"90.88";"4.88";"0.29";"1.1";"null";"0.0";"null";"null";"20.65";"2.25";"2.78";"9741.57";"108.24";"1295.05";"304.64";"24.25";"26.23";"1.21";"330.87";"25.46";"92.38";"1.43";"84.96";"4.56";"0.27";"0.0";"19.3"
"Nerea Eizaguirre Lasa";"Nerea Eizagirre";"64099";"2000-01-04";"81.89";"7";"0";"7936.86";"96.92";"823.57";"297.71";"27.43";"53.0";"2.29";"350.71";"29.71";"26.04";"26.5";"76.43";"3.0";"68.57";"4.71";"0.71";"1.06";"null";"0.29";"null";"null";"19.0";"2.17";"3.06";"8722.84";"96.92";"905.13";"327.2";"30.14";"58.25";"2.51";"385.45";"32.66";"84.0";"3.3";"75.36";"5.18";"0.79";"0.31";"20.88"
"Claudia Pina Medina";"Claudia Pina";"64100";"2001-08-12";"77.61";"13";"0";"8290.46";"106.82";"1004.08";"337.31";"28.15";"32.0";"1.46";"369.31";"29.62";"25.51";"26.8";"92.31";"3.08";"77.15";"5.0";"2.15";"0.86";"0.99";"0.31";"null";"null";"17.54";"2.26";"2.84";"9613.8";"106.82";"1164.35";"391.15";"32.65";"37.11";"1.69";"428.26";"34.34";"107.04";"3.57";"89.47";"5.8";"2.5";"0.36";"20.34"
"Amaiur Sarriegi Isasa";"Amaiur Sarriegi";"64102";"2000-12-13";"81.99";"14";"0";"8560.07";"104.4";"1237.57";"486.43";"40.79";"90.07";"4.5";"576.5";"45.29";"26.56";"27.84";"95.71";"5.5";"82.14";"9.43";"2.86";"0.79";"0.81";"0.29";"null";"null";"26.43";"1.96";"3.01";"9396.29";"104.4";"1358.47";"533.95";"44.77";"98.87";"4.94";"632.82";"49.71";"105.06";"6.04";"90.17";"10.35";"3.14";"0.31";"29.01"
"Alba María Redondo Ferrer";"Alba Redondo";"64103";"1996-08-27";"82.6";"10";"0";"8675.2";"105.03";"1135.1";"436.6";"39.3";"61.6";"4.3";"498.2";"43.6";"26.46";"27.58";"91.8";"5.6";"79.2";"11.2";"3.5";"0.66";"0.84";"0.4";"1.95";"null";"26.3";"1.99";"3.01";"9452.59";"105.03";"1236.82";"475.72";"42.82";"67.12";"4.69";"542.84";"47.51";"100.03";"6.1";"86.3";"12.2";"3.81";"0.44";"28.66"
"Athenea del Castillo Belvide";"Athenea del Castillo";"64105";"2000-10-24";"88.44";"12";"0";"9612.5";"108.69";"1185.58";"514.92";"50.42";"151.0";"9.0";"665.92";"59.42";"28.15";"29.04";"92.58";"4.67";"79.58";"13.42";"3.33";"0.69";"0.75";"1.0";"1.61";"null";"30.5";"1.93";"2.81";"9782.02";"108.69";"1206.49";"524.0";"51.31";"153.66";"9.16";"677.66";"60.46";"94.22";"4.75";"80.99";"13.65";"3.39";"1.02";"31.04"
"María José Pérez González";"María José Pérez";"67695";"1984-03-19";"99.32";"6";"0";"9810.67";"98.78";"1203.67";"470.5";"42.0";"72.5";"5.5";"543.0";"47.5";"26.08";"26.16";"108.5";"6.5";"90.5";"12.33";"3.17";"0.97";"null";"1.33";"2.14";"null";"32.5";"2.05";"3.06";"8890.1";"98.78";"1090.72";"426.35";"38.06";"65.7";"4.98";"492.05";"43.04";"98.32";"5.89";"82.01";"11.18";"2.87";"1.21";"29.45"
"Aleksandra Zaremba Kupiec";"A. Zaremba";"67697";"2001-02-19";"98.81";"20";"0";"9849.4";"99.68";"1246.75";"544.3";"44.2";"116.2";"6.15";"660.5";"50.35";"27.28";"28.84";"115.05";"4.5";"96.9";"12.4";"3.25";"0.74";"0.82";"0.7";"1.47";"null";"19.25";"2.28";"2.93";"8971.14";"99.68";"1135.58";"495.77";"40.26";"105.84";"5.6";"601.6";"45.86";"104.79";"4.1";"88.26";"11.29";"2.96";"0.64";"17.53"
